DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Zip Codes
161404322,1/5/2016,1/3/2016,1000,14,Pacific,1465,310,BURGLARY,344,36,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,11800    BRAY                         ST,,"(33.9898, -118.4068)",90230
161404323,1/5/2016,1/1/2016,1200,14,Pacific,1479,900,VIOLATION OF COURT ORDER,1501,28,M,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,900,,,,8400    WINSFORD                     AV,,"(33.9621, -118.3812)",90045
161404324,1/5/2016,1/1/2016,2000,14,Pacific,1432,440,THEFT PLAIN - PETTY ($950 & UNDER),344,33,M,W,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,1600    ELECTRIC                     AV,,"(33.9906, -118.4635)",90291
161404326,1/5/2016,1/4/2016,2330,14,Pacific,1474,888,TRESPASSING,1501,0,M,W,710,OTHER PREMISE,,,IC,Invest Cont,888,,,,8600 W  MANCHESTER                   BL,,"(33.9667, -118.4181)",90045
161404328,1/5/2016,1/5/2016,350,14,Pacific,1435,330,BURGLARY FROM VEHICLE,344,30,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,3700    INGLEWOOD                    BL,,"(34.0082, -118.4305)",90066
161404330,1/5/2016,1/4/2016,1700,14,Pacific,1413,330,BURGLARY FROM VEHICLE,344,33,F,W,101,STREET,,,IC,Invest Cont,330,,,,500    BROOKS                       AV,,"(33.9943, -118.4709)",90291
161404334,1/5/2016,1/5/2016,30,14,Pacific,1445,330,BURGLARY FROM VEHICLE,344,25,F,W,101,STREET,,,IC,Invest Cont,330,,,,3800    WADE                         ST,,"(34.0014, -118.438)",90066
161404335,1/5/2016,1/5/2016,900,14,Pacific,1415,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,41,F,O,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,300    LINCOLN                      BL,,"(34.0014, -118.4679)",90291
161404336,1/5/2016,1/4/2016,1900,14,Pacific,1431,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,25,F,W,108,PARKING LOT,,,IC,Invest Cont,740,,,,00    HORIZON                      AV,,"(33.9882, -118.4741)",90291
161404337,1/5/2016,1/4/2016,1,14,Pacific,1494,440,THEFT PLAIN - PETTY ($950 & UNDER),344,34,M,O,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,100    WORLD                        WY,,"(33.9451, -118.4029)",90045
161404338,1/5/2016,1/4/2016,840,14,Pacific,1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,21,F,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,400    WORLD                        WY,,"(33.9433, -118.4072)",90045
161404348,1/5/2016,1/3/2016,1000,14,Pacific,1443,320,"BURGLARY, ATTEMPTED",,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,320,,,,600    VENICE                       BL,,"(33.989, -118.4623)",90291
161404349,1/4/2016,1/1/2016,700,14,Pacific,1416,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,43,F,W,103,ALLEY,,,IC,Invest Cont,745,,,,12900    PALMS                        BL,,"(34.0101, -118.4474)",90066
161404350,1/5/2016,1/5/2016,715,14,Pacific,1445,480,BIKE - STOLEN,344,21,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,3800    WADE                         ST,,"(34.0014, -118.438)",90066
161404353,1/5/2016,1/4/2016,700,14,Pacific,1403,330,BURGLARY FROM VEHICLE,0344 1300,35,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,2900    KELTON                       AV,,"(34.0313, -118.4238)",90064
161404354,1/5/2016,1/4/2016,800,14,Pacific,1406,330,BURGLARY FROM VEHICLE,0344 1300,31,F,A,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,3700    MENTONE                      AV,,"(34.0222, -118.4068)",90034
161404361,1/5/2016,1/5/2016,1830,14,Pacific,1455,310,BURGLARY,344,70,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,12400    GREENE                       AV,,"(33.9918, -118.4219)",90066
